"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1214","Visits the page","My First Test","Mon Dec 02 17:23:55 UTC 2024","passed","Mon Dec 02 17:23:56 UTC 2024","","","",""
"","1260","Visits the page","My First Test","Mon Dec 02 17:23:49 UTC 2024","passed","Mon Dec 02 17:23:51 UTC 2024","","","",""
"","1267","Visits the page","My First Test","Mon Dec 02 17:24:00 UTC 2024","passed","Mon Dec 02 17:24:02 UTC 2024","","","",""
